title,link,reviewer,stars,gm,year,sentiment_sentiment_neg,sentiment_sentiment_neu,sentiment_sentiment_pos,sentiment_sentiment_compound,review_length
Moolaade,https://www.rogerebert.com/reviews/great-movie-moolaade-2007,Roger Ebert,4.0,True,2007,0.091,0.761,0.148,0.9984,7890
Cabiria,https://www.rogerebert.com/reviews/great-movie-cabiria-1914,Roger Ebert,4.0,True,1914,0.041,0.81,0.149,0.9995,7880
The Shining,https://www.rogerebert.com/reviews/great-movie-the-shining-1980,Roger Ebert,4.0,True,1980,0.146,0.775,0.079,-0.999,8310
Chimes at Midnight,https://www.rogerebert.com/reviews/great-movie-chimes-at-midnight-1965,Roger Ebert,4.0,True,1965,0.117,0.735,0.147,0.9954,8430
Army of Shadows,https://www.rogerebert.com/reviews/great-movie-army-of-shadows-1969,Roger Ebert,4.0,True,1969,0.119,0.788,0.092,-0.9914,7829
Au revoir les enfants,https://www.rogerebert.com/reviews/great-movie-au-revoir-les-enfants-1987,Roger Ebert,4.0,True,1987,0.084,0.803,0.113,0.9913,7801
The Long Goodbye,https://www.rogerebert.com/reviews/great-movie-the-long-goodbye-1973,Roger Ebert,4.0,True,1973,0.108,0.798,0.095,-0.9851,8729
Ripley's Game,https://www.rogerebert.com/reviews/great-movie-ripleys-game-2002,Roger Ebert,4.0,True,2002,0.162,0.685,0.153,-0.9907,8055
Night Moves,https://www.rogerebert.com/reviews/great-movie-night-moves-1975,Roger Ebert,4.0,True,1975,0.075,0.861,0.065,-0.9205,7606
Cat People,https://www.rogerebert.com/reviews/great-movie-cat-people-1942,Roger Ebert,4.0,True,1942,0.133,0.777,0.09,-0.9964,8409
Samurai Rebellion,https://www.rogerebert.com/reviews/great-movie-samurai-rebellion-1967,Roger Ebert,4.0,True,1967,0.104,0.779,0.116,0.9876,8325
The River (Le Fleuve),https://www.rogerebert.com/reviews/great-movie-the-river-le-fleuve-1951,Roger Ebert,4.0,True,1951,0.044,0.852,0.105,0.9983,8371
Inherit the Wind,https://www.rogerebert.com/reviews/great-movie-inherit-the-wind-1960,Roger Ebert,4.0,True,1960,0.077,0.814,0.11,0.9937,8611
My Fair Lady,https://www.rogerebert.com/reviews/great-movie-my-fair-lady-1964,Roger Ebert,4.0,True,1964,0.054,0.8,0.146,0.9994,8765
Forbidden Games,https://www.rogerebert.com/reviews/great-movie-forbidden-games-1952,Roger Ebert,4.0,True,1952,0.165,0.708,0.127,-0.9973,7901
Atlantic City,https://www.rogerebert.com/reviews/great-movie-atlantic-city-1980,Roger Ebert,4.0,True,1980,0.071,0.778,0.151,0.9992,8642
Crumb,https://www.rogerebert.com/reviews/great-movie-crumb-1994,Roger Ebert,4.0,True,1994,0.083,0.798,0.119,0.9962,8688
Dark City,https://www.rogerebert.com/reviews/great-movie-dark-city-2005,Roger Ebert,4.0,True,2005,0.072,0.8,0.128,0.9983,8159
Top Hat,https://www.rogerebert.com/reviews/great-movie-top-hat-1935,Roger Ebert,4.0,True,1935,0.06,0.788,0.152,0.9994,8171
The Dead,https://www.rogerebert.com/reviews/great-movie-the-dead-1987,Roger Ebert,4.0,True,1987,0.116,0.777,0.107,-0.8767,7694
Nanook of the North,https://www.rogerebert.com/reviews/great-movie-nanook-of-the-north-1922,Roger Ebert,4.0,True,1922,0.091,0.82,0.089,0.6079,8319
Crimes and Misdemeanors,https://www.rogerebert.com/reviews/great-movie-crimes-and-misdemeanors-1989,Roger Ebert,4.0,True,1989,0.161,0.712,0.127,-0.9975,7970
Fitzcarraldo,https://www.rogerebert.com/reviews/great-movie-fitzcarraldo-1982,Roger Ebert,4.0,True,1982,0.096,0.807,0.097,-0.8873,8561
The Age of Innocence,https://www.rogerebert.com/reviews/great-movie-the-age-of-innocence-1993,Roger Ebert,4.0,True,1993,0.069,0.809,0.121,0.998,8492
Leolo,https://www.rogerebert.com/reviews/great-movie-leolo-1993,Roger Ebert,4.0,True,1993,0.083,0.811,0.106,0.9887,8340
The Terrorist,https://www.rogerebert.com/reviews/great-movie-the-terrorist-2000,Roger Ebert,4.0,True,2000,0.164,0.724,0.113,-0.9986,7628
Safety Last,https://www.rogerebert.com/reviews/great-movie-safety-last-1923,Roger Ebert,4.0,True,1923,0.062,0.792,0.147,0.9992,8101
Rebel Without a Cause,https://www.rogerebert.com/reviews/great-movie-rebel-without-a-cause-1955,Roger Ebert,4.0,True,1955,0.117,0.79,0.093,-0.9902,7713
Howards End,https://www.rogerebert.com/reviews/great-movie-howards-end-1992,Roger Ebert,4.0,True,1992,0.097,0.801,0.102,0.8228,9173
Woodstock,https://www.rogerebert.com/reviews/great-movie-woodstock-1970,Roger Ebert,4.0,True,1970,0.052,0.875,0.073,0.9878,8244
Faust,https://www.rogerebert.com/reviews/great-movie-faust-1926,Roger Ebert,4.0,True,1926,0.107,0.748,0.144,0.9945,8275
The Marriage of Maria Braun,https://www.rogerebert.com/reviews/great-movie-the-marriage-of-maria-braun-1979,Roger Ebert,4.0,True,1979,0.092,0.768,0.141,0.9977,8316
Yojimbo,https://www.rogerebert.com/reviews/great-movie-yojimbo-1961,Roger Ebert,4.0,True,1961,0.091,0.823,0.086,0.7975,8146
The Band Wagon,https://www.rogerebert.com/reviews/great-movie-the-band-wagon-1953,Roger Ebert,4.0,True,1953,0.067,0.821,0.112,0.9969,8840
"After Dark, My Sweet",https://www.rogerebert.com/reviews/great-movie-after-dark-my-sweet-1990,Roger Ebert,4.0,True,1990,0.122,0.752,0.125,0.8516,8053
Paths of Glory,https://www.rogerebert.com/reviews/great-movie-paths-of-glory-1957,Roger Ebert,4.0,True,1957,0.143,0.758,0.098,-0.9981,8793
Late Spring,https://www.rogerebert.com/reviews/great-movie-late-spring-1972,Roger Ebert,4.0,True,1972,0.092,0.774,0.134,0.9978,8513
Groundhog Day,https://www.rogerebert.com/reviews/great-movie-groundhog-day-1993,Roger Ebert,4.0,True,1993,0.072,0.814,0.114,0.9967,7672
The Scarlet Empress,https://www.rogerebert.com/reviews/great-movie-the-scarlet-empress-1934,Roger Ebert,4.0,True,1934,0.073,0.814,0.112,0.9959,8210
The Phantom of the Opera,https://www.rogerebert.com/reviews/great-movie-the-phantom-of-the-opera-1925,Roger Ebert,4.0,True,1925,0.124,0.753,0.123,0.7566,8645
Fanny and Alexander,https://www.rogerebert.com/reviews/great-movie-fanny-and-alexander-1983,Roger Ebert,4.0,True,1983,0.091,0.788,0.121,0.9927,8515
The Big Red One,https://www.rogerebert.com/reviews/great-movie-the-big-red-one-1980,Roger Ebert,4.0,True,1980,0.169,0.744,0.087,-0.9994,8133
A Woman's Tale,https://www.rogerebert.com/reviews/great-movie-a-womans-tale-1992,Roger Ebert,4.0,True,1992,0.1,0.714,0.186,0.9994,7917
Easy Rider,https://www.rogerebert.com/reviews/great-movie-easy-rider-1969,Roger Ebert,4.0,True,1969,0.068,0.799,0.134,0.9988,8782
The Battle of Algiers,https://www.rogerebert.com/reviews/great-movie-the-battle-of-algiers-1967,Roger Ebert,4.0,True,1967,0.193,0.737,0.07,-0.9997,8709
3 Women,https://www.rogerebert.com/reviews/great-movie-3-women-1977,Roger Ebert,4.0,True,1977,0.075,0.826,0.099,0.9875,8480
Pixote,https://www.rogerebert.com/reviews/great-movie-pixote-1981,Roger Ebert,4.0,True,1981,0.173,0.725,0.102,-0.9993,8413
Playtime,https://www.rogerebert.com/reviews/great-movie-playtime-1967,Roger Ebert,4.0,True,1967,0.07,0.836,0.094,0.9929,8261
Last Tango in Paris,https://www.rogerebert.com/reviews/great-movie-last-tango-in-paris-1972,Roger Ebert,4.0,True,1972,0.126,0.768,0.106,-0.9923,9200
El Norte,https://www.rogerebert.com/reviews/great-movie-el-norte-1983,Roger Ebert,4.0,True,1983,0.088,0.759,0.153,0.999,8605
Out of the Past,https://www.rogerebert.com/reviews/great-movie-out-of-the-past-1947,Roger Ebert,4.0,True,1947,0.103,0.803,0.094,-0.8842,8573
The Last Picture Show,https://www.rogerebert.com/reviews/great-movie-the-last-picture-show-1971,Roger Ebert,4.0,True,1971,0.08,0.784,0.136,0.9987,8062
Jules and Jim,https://www.rogerebert.com/reviews/great-movie-jules-and-jim-1961,Roger Ebert,4.0,True,1961,0.083,0.748,0.169,0.9995,8772
The Big Heat,https://www.rogerebert.com/reviews/great-movie-the-big-heat-1953,Roger Ebert,4.0,True,1953,0.146,0.724,0.13,-0.9911,8791
Victim,https://www.rogerebert.com/reviews/great-movie-victim-1961,Roger Ebert,4.0,True,1961,0.107,0.774,0.119,0.9687,8368
Ugetsu,https://www.rogerebert.com/reviews/great-movie-ugetsu-1953,Roger Ebert,4.0,True,1953,0.12,0.749,0.132,0.9842,8030
Leaving Las Vegas,https://www.rogerebert.com/reviews/great-movie-leaving-las-vegas-1995,Roger Ebert,4.0,True,1995,0.134,0.758,0.108,-0.9933,8039
Sunrise,https://www.rogerebert.com/reviews/great-movie-sunrise-1928,Roger Ebert,4.0,True,1928,0.053,0.814,0.133,0.9994,9114
The Color Purple,https://www.rogerebert.com/reviews/great-movie-the-color-purple-1985,Roger Ebert,4.0,True,1985,0.132,0.69,0.178,0.9984,8117
Au Hasard Balthazar,https://www.rogerebert.com/reviews/great-movie-au-hasard-balthazar-1966,Roger Ebert,4.0,True,1966,0.115,0.775,0.11,-0.3568,8064
The Gospel According to St. Matthew,https://www.rogerebert.com/reviews/great-movie-gospel-according-to-st-matthew-1964,Roger Ebert,4.0,True,1964,0.098,0.795,0.107,0.8201,8458
The Rules of the Game,https://www.rogerebert.com/reviews/great-movie-the-rules-of-the-game-1939,Roger Ebert,4.0,True,1939,0.078,0.752,0.17,0.9995,8750
West Side Story,https://www.rogerebert.com/reviews/great-movie-west-side-story-1961,Roger Ebert,4.0,True,1961,0.096,0.726,0.179,0.9994,9210
Touchez Pas au Grisbi,https://www.rogerebert.com/reviews/great-movie-touchez-pas-au-grisbi-1954,Roger Ebert,4.0,True,1954,0.084,0.766,0.15,0.9991,8881
The Man Who Laughs,https://www.rogerebert.com/reviews/great-movie-the-man-who-laughs-1928,Roger Ebert,4.0,True,1928,0.116,0.731,0.154,0.9968,7994
Amarcord,https://www.rogerebert.com/reviews/great-movie-amarcord-1974,Roger Ebert,4.0,True,1974,0.067,0.787,0.147,0.9994,8788
Strangers on a Train,https://www.rogerebert.com/reviews/great-movie-strangers-on-a-train-1951,Roger Ebert,4.0,True,1951,0.121,0.776,0.104,-0.9878,9107
Taxi Driver,https://www.rogerebert.com/reviews/great-movie-taxi-driver-1976,Roger Ebert,4.0,True,1976,0.093,0.824,0.083,-0.9748,8367
Mean Streets,https://www.rogerebert.com/reviews/great-movie-mean-streets-1973,Roger Ebert,4.0,True,1973,0.109,0.796,0.095,-0.9569,7901
The Manchurian Candidate,https://www.rogerebert.com/reviews/great-movie-the-manchurian-candidate-1962,Roger Ebert,4.0,True,1962,0.095,0.813,0.092,-0.6002,9078
